state,x,y
Andhra Pradesh,-100,-135
Arunachal Pradesh,160,120
Assam,140,90
Bihar,40,70
Chhattisgarh,-25,-10
Delhi,-100,125
Goa,-160,-120
Gujarat,-200,20
Haryana,-125,140
Himachal Pradesh,-120,190
Jharkhand,20,35
Jammu Kashmir,-160,220
Karnataka,-140,-140
Kerala,-120,-210
Ladakh,-100,240
Madhya Pradesh,-120,20
Maharashtra,-150,-40
Manipur,180,60
Meghalaya,120,70
Mizoram,160,30
Nagaland,190,90
Odisha,15,-25
Punjab,-135,165
Rajasthan,-170,90
Sikkim,85,105
Tamil Nadu,-100,-200
Telangana,-85,-80
Tripura,140,35
Uttar Pradesh,-55,90
Uttarakhand,-80,160
West Bengal,60,25
